Data,Data1,D
4.675000e+03,-5.68e+01,
4.700000e+03,-5.60e+01,
4.725000e+03,-5.84e+01,
4.750000e+03,-5.92e+01,
4.775000e+03,-6.08e+01,
4.800000e+03,-5.60e+01,
4.825000e+03,-6.48e+01,
4.850000e+03,-6.00e+01,
4.875000e+03,-5.92e+01,
4.900000e+03,-6.08e+01,
4.925000e+03,-5.92e+01,
4.950000e+03,-6.00e+01,
4.975000e+03,-5.60e+01,
5.000000e+03,-5.60e+01,
5.025000e+03,-5.60e+01,
5.050000e+03,-5.84e+01,
5.075000e+03,-5.52e+01,
5.100000e+03,-6.00e+01,
5.125000e+03,-5.92e+01,
5.150000e+03,-5.84e+01,
5.175000e+03,-5.92e+01,
5.200000e+03,-6.00e+01,
5.225000e+03,-5.92e+01,
5.250000e+03,-5.92e+01,
5.275000e+03,-6.16e+01,
5.300000e+03,-5.92e+01,
5.325000e+03,-5.84e+01,
5.350000e+03,-6.24e+01,
5.375000e+03,-5.92e+01,
5.400000e+03,-5.84e+01,
5.425000e+03,-5.60e+01,
5.450000e+03,-5.68e+01,
5.475000e+03,-5.92e+01,
5.500000e+03,-5.92e+01,
5.525000e+03,-6.00e+01,
5.550000e+03,-5.84e+01,
5.575000e+03,-6.08e+01,
5.600000e+03,-5.84e+01,
5.625000e+03,-5.76e+01,
5.650000e+03,-5.76e+01,
5.675000e+03,-6.08e+01,
5.700000e+03,-5.76e+01,
5.725000e+03,-5.60e+01,
5.750000e+03,-5.92e+01,
5.775000e+03,-5.68e+01,
5.800000e+03,-6.00e+01,
5.825000e+03,-6.00e+01,
5.850000e+03,-7.28e+01,
5.875000e+03,-6.24e+01,
5.900000e+03,-6.16e+01,
5.925000e+03,-6.56e+01,
5.950000e+03,-6.00e+01,
5.975000e+03,-5.84e+01,
6.000000e+03,-6.16e+01,
6.025000e+03,-5.60e+01,
6.050000e+03,-5.52e+01,
6.075000e+03,-5.60e+01,
6.100000e+03,-6.48e+01,
6.125000e+03,-6.32e+01,
6.150000e+03,-6.08e+01,
6.175000e+03,-6.08e+01,
6.200000e+03,-7.36e+01,
6.225000e+03,-5.76e+01,
6.250000e+03,-6.32e+01,
6.275000e+03,-6.08e+01,
6.300000e+03,-5.76e+01,
6.325000e+03,-5.92e+01,
6.350000e+03,-5.92e+01,
6.375000e+03,-7.20e+01,
6.400000e+03,-6.08e+01,
6.425000e+03,-5.92e+01,
6.450000e+03,-6.48e+01,
6.475000e+03,-6.24e+01,
6.500000e+03,-5.92e+01,
6.525000e+03,-6.32e+01,
6.550000e+03,-5.52e+01,
6.575000e+03,-5.52e+01,
6.600000e+03,-6.16e+01,
6.625000e+03,-5.92e+01,
6.650000e+03,-5.76e+01,
6.675000e+03,-6.32e+01,
6.700000e+03,-5.92e+01,
6.725000e+03,-5.68e+01,
6.750000e+03,-5.84e+01,
6.775000e+03,-5.44e+01,
6.800000e+03,-6.64e+01,
6.825000e+03,-5.84e+01,
6.850000e+03,-6.24e+01,
6.875000e+03,-5.92e+01,
6.900000e+03,-5.92e+01,
6.925000e+03,-5.76e+01,
6.950000e+03,-5.84e+01,
6.975000e+03,-6.16e+01,
7.000000e+03,-6.32e+01,
7.025000e+03,-6.40e+01,
7.050000e+03,-6.16e+01,
7.075000e+03,-6.32e+01,
7.100000e+03,-6.72e+01,
7.125000e+03,-5.68e+01,
7.150000e+03,-5.76e+01,
7.175000e+03,-6.08e+01,
7.200000e+03,-5.76e+01,
7.225000e+03,-6.00e+01,
7.250000e+03,-6.00e+01,
7.275000e+03,-5.60e+01,
7.300000e+03,-5.84e+01,
7.325000e+03,-6.00e+01,
7.350000e+03,-5.92e+01,
7.375000e+03,-6.80e+01,
7.400000e+03,-5.76e+01,
7.425000e+03,-6.40e+01,
7.450000e+03,-6.00e+01,
7.475000e+03,-5.92e+01,
7.500000e+03,-5.92e+01,
7.525000e+03,-5.84e+01,
7.550000e+03,-5.84e+01,
7.575000e+03,-5.92e+01,
7.600000e+03,-6.16e+01,
7.625000e+03,-6.16e+01,
7.650000e+03,-6.24e+01,
7.675000e+03,-6.32e+01,
7.700000e+03,-6.48e+01,
7.725000e+03,-6.32e+01,
7.750000e+03,-8.08e+01,
7.775000e+03,-6.16e+01,
7.800000e+03,-6.00e+01,
7.825000e+03,-6.16e+01,
7.850000e+03,-6.08e+01,
7.875000e+03,-6.00e+01,
7.900000e+03,-5.68e+01,
7.925000e+03,-6.48e+01,
7.950000e+03,-7.12e+01,
7.975000e+03,-6.08e+01,
8.000000e+03,-6.08e+01,
8.025000e+03,-6.72e+01,
8.050000e+03,-6.32e+01,
8.075000e+03,-6.24e+01,
8.100000e+03,-6.56e+01,
8.125000e+03,-5.92e+01,
8.150000e+03,-5.84e+01,
8.175000e+03,-5.84e+01,
8.200000e+03,-6.56e+01,
8.225000e+03,-6.32e+01,
8.250000e+03,-5.76e+01,
8.275000e+03,-7.60e+01,
8.300000e+03,-6.32e+01,
8.325000e+03,-6.16e+01,
8.350000e+03,-6.72e+01,
8.375000e+03,-5.92e+01,
8.400000e+03,-6.32e+01,
8.425000e+03,-6.64e+01,
8.450000e+03,-5.84e+01,
8.475000e+03,-6.32e+01,
8.500000e+03,-5.84e+01,
8.525000e+03,-6.40e+01,
8.550000e+03,-6.80e+01,
8.575000e+03,-6.08e+01,
8.600000e+03,-5.92e+01,
8.625000e+03,-5.84e+01,
8.650000e+03,-5.92e+01,
8.675000e+03,-5.68e+01,
8.700000e+03,-6.64e+01,
8.725000e+03,-5.28e+01,
8.750000e+03,-6.08e+01,
8.775000e+03,-6.16e+01,
8.800000e+03,-6.48e+01,
8.825000e+03,-6.24e+01,
8.850000e+03,-6.32e+01,
8.875000e+03,-6.00e+01,
8.900000e+03,-5.76e+01,
8.925000e+03,-6.80e+01,
8.950000e+03,-7.12e+01,
8.975000e+03,-6.80e+01,
9.000000e+03,-6.24e+01,
9.025000e+03,-5.84e+01,
9.050000e+03,-6.88e+01,
9.075000e+03,-6.24e+01,
9.100000e+03,-6.08e+01,
9.125000e+03,-6.16e+01,
9.150000e+03,-6.48e+01,
9.175000e+03,-6.48e+01,
9.200000e+03,-5.68e+01,
9.225000e+03,-5.68e+01,
9.250000e+03,-6.72e+01,
9.275000e+03,-6.32e+01,
9.300000e+03,-6.24e+01,
9.325000e+03,-6.16e+01,
9.350000e+03,-6.80e+01,
9.375000e+03,-6.08e+01,
9.400000e+03,-8.00e+01,
9.425000e+03,-6.48e+01,
9.450000e+03,-7.36e+01,
9.475000e+03,-6.32e+01,
9.500000e+03,-6.40e+01,
9.525000e+03,-7.20e+01,
9.550000e+03,-6.64e+01,
9.575000e+03,-6.48e+01,
9.600000e+03,-6.24e+01,
9.625000e+03,-7.28e+01,
9.650000e+03,-6.56e+01,
9.675000e+03,-6.40e+01,
9.700000e+03,-6.80e+01,
9.725000e+03,-6.72e+01,
9.750000e+03,-5.76e+01,
